P_ProfileID,PortfolioID,PlanType
11282160,11282160-1,RRSP-REG
11282527,11282527-1,RRSP-REG
11282715,11282715-1,RRSP-REG
11283826,11283826-2,RRSP-REG
11284344,11284344-1,RRSP-REG
11284903,11284903-2,RRSP-REG
11284989,11284989-1,RRSP-REG
11285024,11285024-2,RRSP-REG
11285264,11285264-1,RRSP-REG
11285343,11285343-1,RRSP-REG
11286796,11286796-1,RRSP-REG
11287567,11287567-1,RRSP-REG
11287757,11287757-2,RRSP-REG
11287895,11287895-2,RRSP-REG
11287926,11287926-2,RRSP-REG
11287940,11287940-2,RRSP-REG
11288162,11288162-2,RRSP-REG
11288580,11288580-4,RRSP-REG
11288778,11288778-1,RRSP-REG
11288935,11288935-1,RRSP-REG
11289131,11289131-1,RRSP-REG
11289364,11289364-1,RRSP-REG
11289520,11289520-1,RRSP-REG
11289548,11289548-3,RRSP-REG
11289685,11289685-1,RRSP-REG
11289687,11289687-1,RRSP-REG
11289715,11289715-3,RRSP-REG
11289720,11289720-1,RRSP-REG
11289748,11289748-1,RRSP-REG
11290655,11290655-1,RRSP-REG
11290950,11290950-1,RRSP-REG
11291668,11291668-1,RRSP-REG
11291874,11291874-1,RRSP-REG
11292389,11292389-2,RRSP-REG
11292601,11292601-1,RRSP-REG
11292604,11292604-2,RRSP-REG
11292810,11292810-1,RRSP-REG
11293184,11293184-1,RRSP-REG
11293224,11293224-1,RRSP-REG
11293227,11293227-2,RRSP-REG
11293236,11293236-1,RRSP-REG
11293428,11293428-2,RRSP-REG
11293513,11293513-1,RRSP-REG
11294171,11294171-1,RRSP-REG
11294405,11294405-1,RRSP-REG
11294944,11294944-1,RRSP-REG
1129639,1129639-1,RRSP-REG
11296552,11296552-1,RRSP-REG
11297157,11297157-1,RRSP-REG
11297407,11297407-1,RRSP-REG
11297412,11297412-1,RRSP-REG
11298391,11298391-2,RRSP-REG
11298543,11298543-1,RRSP-REG
11298723,11298723-1,RRSP-REG
11299414,11299414-2,RRSP-REG
11299456,11299456-2,RRSP-REG
11299634,11299634-1,RRSP-REG
11299737,11299737-1,RRSP-REG
11299839,11299839-2,RRSP-REG
11300255,11300255-2,RRSP-REG
11300519,11300519-1,RRSP-REG
11300606,11300606-1,RRSP-REG
11301190,11301190-1,RRSP-REG
11301562,11301562-1,RRSP-REG
11302173,11302173-2,RRSP-REG
11302211,11302211-1,RRSP-REG
11302236,11302236-1,RRSP-REG
11302350,11302350-3,RRSP-REG
1130268,1130268-1,RRSP-REG
11303110,11303110-1,RRSP-REG
11303122,11303122-2,RRSP-REG
11303124,11303124-1,RRSP-REG
11303642,11303642-1,RRSP-REG
11304050,11304050-1,RRSP-REG
11304082,11304082-1,RRSP-REG
11304089,11304089-1,RRSP-REG
11304109,11304109-1,RRSP-REG
11304447,11304447-1,RRSP-REG
11304476,11304476-1,RRSP-REG
11304627,11304627-1,RRSP-REG
11304928,11304928-1,RRSP-REG
11305376,11305376-1,RRSP-REG
11305393,11305393-1,RRSP-REG
11305467,11305467-2,RRSP-REG
11305493,11305493-1,RRSP-REG
11305743,11305743-2,RRSP-REG
1130599,1130599-1,RRSP-REG
11306993,11306993-1,RRSP-REG
11307032,11307032-1,RRSP-REG
11307180,11307180-2,RRSP-REG
11307290,11307290-1,RRSP-REG
11308149,11308149-1,RRSP-REG
11308530,11308530-1,RRSP-REG
11308674,11308674-1,RRSP-REG
1130902,1130902-1,RRSP-REG
11309407,11309407-1,RRSP-REG
11310792,11310792-2,RRSP-REG
11311209,11311209-2,RRSP-REG
11311262,11311262-1,RRSP-REG
1131190,1131190-1,RRSP-REG
11312321,11312321-1,RRSP-REG
11312574,11312574-1,RRSP-REG
11312655,11312655-3,RRSP-REG
11312814,11312814-2,RRSP-REG
11312830,11312830-1,RRSP-REG
11313390,11313390-1,RRSP-REG
11313488,11313488-2,RRSP-REG
1131407,1131407-1,RRSP-REG
11314080,11314080-2,RRSP-REG
11314295,11314295-1,RRSP-REG
11315015,11315015-1,RRSP-REG
11315106,11315106-1,RRSP-REG
1131513,1131513-1,RRSP-REG
11315882,11315882-2,RRSP-REG
11316792,11316792-1,RRSP-REG
11316953,11316953-1,RRSP-REG
11316991,11316991-4,RRSP-REG
11317111,11317111-1,RRSP-REG
11317273,11317273-1,RRSP-REG
11317461,11317461-1,RRSP-REG
11318082,11318082-1,RRSP-REG
1132182,1132182-2,RRSP-REG
1132435,1132435-1,RRSP-REG
11326135,11326135-2,RRSP-REG
11326176,11326176-1,RRSP-REG
11326518,11326518-1,RRSP-REG
1132674,1132674-1,RRSP-REG
11326955,11326955-1,RRSP-REG
11327,11327-1,RRSP-REG
11327297,11327297-1,RRSP-REG
11328229,11328229-1,RRSP-REG
11329148,11329148-2,RRSP-REG
11329152,11329152-2,RRSP-REG
11329332,11329332-1,RRSP-REG
11329673,11329673-1,RRSP-REG
11330028,11330028-1,RRSP-REG
11330916,11330916-1,RRSP-REG
11331272,11331272-1,RRSP-REG
11331460,11331460-2,RRSP-REG
1133151,1133151-2,RRSP-REG
1133158,1133158-2,RRSP-REG
11331950,11331950-1,RRSP-REG
11332094,11332094-1,RRSP-REG
11332337,11332337-2,RRSP-REG
11332588,11332588-1,RRSP-REG
1133276,1133276-1,RRSP-REG
1133291,1133291-2,RRSP-REG
11332976,11332976-2,RRSP-REG
11333161,11333161-1,RRSP-REG
11333457,11333457-1,RRSP-REG
11334660,11334660-1,RRSP-REG
11334814,11334814-2,RRSP-REG
1133525,1133525-1,RRSP-REG
11335404,11335404-1,RRSP-REG
11335616,11335616-1,RRSP-REG
11335617,11335617-2,RRSP-REG
11335885,11335885-2,RRSP-REG
11336269,11336269-1,RRSP-REG
11336497,11336497-3,RRSP-REG
11336529,11336529-1,RRSP-REG
11336653,11336653-1,RRSP-REG
113369,113369-1,RRSP-REG
11337217,11337217-2,RRSP-REG
11337437,11337437-2,RRSP-REG
11338029,11338029-1,RRSP-REG
11338567,11338567-2,RRSP-REG
11338906,11338906-1,RRSP-REG
11339249,11339249-1,RRSP-REG
113393,113393-1,RRSP-REG
11339532,11339532-2,RRSP-REG
11340196,11340196-3,RRSP-REG
11341195,11341195-1,RRSP-REG
1134134,1134134-1,RRSP-REG
11341875,11341875-1,RRSP-REG
11342143,11342143-1,RRSP-REG
11342208,11342208-1,RRSP-REG
1134260,1134260-2,RRSP-REG
11342635,11342635-3,RRSP-REG
11343090,11343090-2,RRSP-REG
11343408,11343408-1,RRSP-REG
11343462,11343462-1,RRSP-REG
1134347,1134347-2,RRSP-REG
11343539,11343539-6,RRSP-REG
11343857,11343857-3,RRSP-REG
11344401,11344401-1,RRSP-REG
11344447,11344447-1,RRSP-REG
11344814,11344814-1,RRSP-REG
11344894,11344894-1,RRSP-REG
11345790,11345790-1,RRSP-REG
11346495,11346495-3,RRSP-REG
11346503,11346503-2,RRSP-REG
11346941,11346941-1,RRSP-REG
11347366,11347366-2,RRSP-REG
11347828,11347828-3,RRSP-REG
11347927,11347927-1,RRSP-REG
11348166,11348166-2,RRSP-REG
11348252,11348252-2,RRSP-REG
11348364,11348364-1,RRSP-REG
11348400,11348400-2,RRSP-REG
11348979,11348979-1,RRSP-REG
11349278,11349278-2,RRSP-REG
11349597,11349597-2,RRSP-REG
11349603,11349603-2,RRSP-REG
11349874,11349874-1,RRSP-REG
11350774,11350774-1,RRSP-REG
11351129,11351129-1,RRSP-REG
11351310,11351310-3,RRSP-REG
11351585,11351585-2,RRSP-REG
11351847,11351847-1,RRSP-REG
11352659,11352659-2,RRSP-REG
11352973,11352973-1,RRSP-REG
11353010,11353010-1,RRSP-REG
11354571,11354571-1,RRSP-REG
11356194,11356194-2,RRSP-REG
11356558,11356558-1,RRSP-REG
11356813,11356813-2,RRSP-REG
11356835,11356835-2,RRSP-REG
1135746,1135746-1,RRSP-REG
11357498,11357498-1,RRSP-REG
11358711,11358711-2,RRSP-REG
11358917,11358917-2,RRSP-REG
113592,113592-2,RRSP-REG
11359424,11359424-1,RRSP-REG
11360101,11360101-1,RRSP-REG
11360955,11360955-2,RRSP-REG
11360985,11360985-1,RRSP-REG
11361302,11361302-2,RRSP-REG
11361428,11361428-1,RRSP-REG
11361784,11361784-2,RRSP-REG
11361784,11361784-1,RRSP-REG
113618,113618-1,RRSP-REG
11362015,11362015-1,RRSP-REG
11362119,11362119-1,RRSP-REG
11363799,11363799-1,RRSP-REG
11364271,11364271-1,RRSP-REG
11364607,11364607-1,RRSP-REG
11364761,11364761-1,RRSP-REG
11364946,11364946-1,RRSP-REG
11365038,11365038-3,RRSP-REG
11365240,11365240-1,RRSP-REG
11366002,11366002-3,RRSP-REG
11366392,11366392-1,RRSP-REG
11366581,11366581-3,RRSP-REG
11366788,11366788-1,RRSP-REG
11366833,11366833-1,RRSP-REG
11367354,11367354-1,RRSP-REG
11367768,11367768-1,RRSP-REG
11368196,11368196-2,RRSP-REG
11368303,11368303-2,RRSP-REG
11368491,11368491-1,RRSP-REG
11368996,11368996-1,RRSP-REG
1136909,1136909-1,RRSP-REG
11369093,11369093-1,RRSP-REG
11369943,11369943-1,RRSP-REG
11371151,11371151-1,RRSP-REG
1137228,1137228-1,RRSP-REG
11372396,11372396-1,RRSP-REG
11372746,11372746-1,RRSP-REG
11372816,11372816-1,RRSP-REG
11372839,11372839-2,RRSP-REG
11372883,11372883-2,RRSP-REG
11373955,11373955-2,RRSP-REG
11376110,11376110-1,RRSP-REG
1137663,1137663-1,RRSP-REG
11377894,11377894-2,RRSP-REG
11378591,11378591-1,RRSP-REG
11378884,11378884-2,RRSP-REG
11379066,11379066-1,RRSP-REG
11379469,11379469-1,RRSP-REG
11379553,11379553-1,RRSP-REG
1138018,1138018-1,RRSP-REG
11380306,11380306-2,RRSP-REG
1138042,1138042-1,RRSP-REG
11380678,11380678-1,RRSP-REG
11380808,11380808-2,RRSP-REG
1138103,1138103-2,RRSP-REG
1138103,1138103-1,RRSP-REG
1138119,1138119-1,RRSP-REG
1138133,1138133-1,RRSP-REG
11381346,11381346-2,RRSP-REG
11381385,11381385-1,RRSP-REG
11381424,11381424-1,RRSP-REG
11381505,11381505-2,RRSP-REG
1138166,1138166-1,RRSP-REG
11381702,11381702-2,RRSP-REG
1138184,1138184-1,RRSP-REG
1138185,1138185-1,RRSP-REG
1138191,1138191-1,RRSP-REG
1138196,1138196-1,RRSP-REG
1138204,1138204-2,RRSP-REG
11382199,11382199-1,RRSP-REG
11382298,11382298-1,RRSP-REG
1138237,1138237-1,RRSP-REG
11382436,11382436-1,RRSP-REG
1138246,1138246-1,RRSP-REG
113827,113827-1,RRSP-REG
11382715,11382715-1,RRSP-REG
11382726,11382726-1,RRSP-REG
1138304,1138304-1,RRSP-REG
11383230,11383230-2,RRSP-REG
1138367,1138367-1,RRSP-REG
11383825,11383825-1,RRSP-REG
1138426,1138426-1,RRSP-REG
11384378,11384378-1,RRSP-REG
1138444,1138444-1,RRSP-REG
1138451,1138451-1,RRSP-REG
11384641,11384641-2,RRSP-REG
11384646,11384646-1,RRSP-REG
1138467,1138467-1,RRSP-REG
1138471,1138471-1,RRSP-REG
11384776,11384776-2,RRSP-REG
11385053,11385053-1,RRSP-REG
1138515,1138515-1,RRSP-REG
1138572,1138572-1,RRSP-REG
11385827,11385827-1,RRSP-REG
11385929,11385929-2,RRSP-REG
1138596,1138596-1,RRSP-REG
11386084,11386084-1,RRSP-REG
11386086,11386086-2,RRSP-REG
1138630,1138630-1,RRSP-REG
11386505,11386505-1,RRSP-REG
1138692,1138692-1,RRSP-REG
1138708,1138708-1,RRSP-REG
11387255,11387255-2,RRSP-REG
1138745,1138745-1,RRSP-REG
1138748,1138748-1,RRSP-REG
11387728,11387728-2,RRSP-REG
1138785,1138785-1,RRSP-REG
1138793,1138793-1,RRSP-REG
11387932,11387932-3,RRSP-REG
1138797,1138797-1,RRSP-REG
1138819,1138819-1,RRSP-REG
1138833,1138833-1,RRSP-REG
1138855,1138855-1,RRSP-REG
1138857,1138857-1,RRSP-REG
11388595,11388595-2,RRSP-REG
1138865,1138865-1,RRSP-REG
11389089,11389089-2,RRSP-REG
11389363,11389363-1,RRSP-REG
11389512,11389512-1,RRSP-REG
1138970,1138970-1,RRSP-REG
11389788,11389788-1,RRSP-REG
11390132,11390132-2,RRSP-REG
1139018,1139018-1,RRSP-REG
1139033,1139033-1,RRSP-REG
1139038,1139038-1,RRSP-REG
1139059,1139059-1,RRSP-REG
11390725,11390725-3,RRSP-REG
1139094,1139094-1,RRSP-REG
1139103,1139103-1,RRSP-REG
1139104,1139104-1,RRSP-REG
11391266,11391266-1,RRSP-REG
1139137,1139137-1,RRSP-REG
11391381,11391381-1,RRSP-REG
1139144,1139144-2,RRSP-REG
1139163,1139163-1,RRSP-REG
1139179,1139179-1,RRSP-REG
11392519,11392519-3,RRSP-REG
1139252,1139252-1,RRSP-REG
1139259,1139259-1,RRSP-REG
11392868,11392868-2,RRSP-REG
11392983,11392983-1,RRSP-REG
11393080,11393080-1,RRSP-REG
1139318,1139318-1,RRSP-REG
1139328,1139328-1,RRSP-REG
11393530,11393530-1,RRSP-REG
11393678,11393678-2,RRSP-REG
11393801,11393801-2,RRSP-REG
1139396,1139396-1,RRSP-REG
11394186,11394186-1,RRSP-REG
1139449,1139449-1,RRSP-REG
1139452,1139452-1,RRSP-REG
11394805,11394805-1,RRSP-REG
1139530,1139530-1,RRSP-REG
11395337,11395337-1,RRSP-REG
11395348,11395348-2,RRSP-REG
11395657,11395657-1,RRSP-REG
113957,113957-1,RRSP-REG
1139585,1139585-1,RRSP-REG
1139590,1139590-1,RRSP-REG
1139617,1139617-1,RRSP-REG
1139627,1139627-1,RRSP-REG
1139700,1139700-1,RRSP-REG
11397186,11397186-2,RRSP-REG
11397303,11397303-2,RRSP-REG
11397347,11397347-1,RRSP-REG
1139780,1139780-1,RRSP-REG
11397820,11397820-1,RRSP-REG
11397963,11397963-1,RRSP-REG
1139935,1139935-1,RRSP-REG
11399474,11399474-1,RRSP-REG
1140000,1140000-1,RRSP-REG
1140014,1140014-1,RRSP-REG
11400161,11400161-1,RRSP-REG
11400195,11400195-2,RRSP-REG
1140058,1140058-1,RRSP-REG
11400946,11400946-1,RRSP-REG
1140097,1140097-1,RRSP-REG
1140107,1140107-1,RRSP-REG
1140133,1140133-1,RRSP-REG
11401461,11401461-1,RRSP-REG
1140159,1140159-1,RRSP-REG
11401837,11401837-1,RRSP-REG
1140222,1140222-1,RRSP-REG
1140229,1140229-1,RRSP-REG
1140231,1140231-1,RRSP-REG
11402508,11402508-1,RRSP-REG
11402575,11402575-1,RRSP-REG
1140284,1140284-1,RRSP-REG
1140316,1140316-1,RRSP-REG
1140320,1140320-1,RRSP-REG
1140321,1140321-5,RRSP-REG
11403262,11403262-1,RRSP-REG
11403368,11403368-1,RRSP-REG
1140337,1140337-1,RRSP-REG
11403438,11403438-1,RRSP-REG
11403467,11403467-2,RRSP-REG
11403635,11403635-4,RRSP-REG
11403779,11403779-2,RRSP-REG
11403788,11403788-1,RRSP-REG
1140423,1140423-1,RRSP-REG
1140448,1140448-1,RRSP-REG
1140455,1140455-1,RRSP-REG
11404607,11404607-1,RRSP-REG
1140462,1140462-1,RRSP-REG
11404755,11404755-1,RRSP-REG
11405271,11405271-2,RRSP-REG
11405485,11405485-2,RRSP-REG
11405653,11405653-1,RRSP-REG
11406130,11406130-2,RRSP-REG
11406504,11406504-1,RRSP-REG
1140659,1140659-1,RRSP-REG
11406637,11406637-1,RRSP-REG
1140667,1140667-1,RRSP-REG
1140732,1140732-2,RRSP-REG
1140747,1140747-1,RRSP-REG
1140759,1140759-1,RRSP-REG
1140761,1140761-1,RRSP-REG
11407824,11407824-1,RRSP-REG
11407956,11407956-1,RRSP-REG
11408006,11408006-1,RRSP-REG
11408024,11408024-1,RRSP-REG
11408150,11408150-2,RRSP-REG
1140828,1140828-1,RRSP-REG
11408326,11408326-1,RRSP-REG
1140852,1140852-1,RRSP-REG
1140856,1140856-1,RRSP-REG
11408748,11408748-2,RRSP-REG
1140885,1140885-1,RRSP-REG
1140908,1140908-1,RRSP-REG
11409184,11409184-1,RRSP-REG
1140934,1140934-1,RRSP-REG
11409942,11409942-1,RRSP-REG
1141006,1141006-1,RRSP-REG
1141009,1141009-1,RRSP-REG
11410277,11410277-1,RRSP-REG
11410393,11410393-2,RRSP-REG
11410394,11410394-1,RRSP-REG
11410567,11410567-2,RRSP-REG
1141113,1141113-1,RRSP-REG
11411243,11411243-1,RRSP-REG
11411658,11411658-2,RRSP-REG
1141179,1141179-2,RRSP-REG
1141182,1141182-1,RRSP-REG
11412062,11412062-1,RRSP-REG
1141209,1141209-1,RRSP-REG
1141219,1141219-1,RRSP-REG
1141229,1141229-1,RRSP-REG
11412576,11412576-1,RRSP-REG
11412789,11412789-1,RRSP-REG
11413193,11413193-2,RRSP-REG
1141321,1141321-1,RRSP-REG
1141322,1141322-1,RRSP-REG
1141360,1141360-1,RRSP-REG
1141365,1141365-1,RRSP-REG
11413653,11413653-1,RRSP-REG
11413709,11413709-1,RRSP-REG
1141383,1141383-1,RRSP-REG
1141400,1141400-1,RRSP-REG
1141403,1141403-1,RRSP-REG
1141419,1141419-1,RRSP-REG
11414388,11414388-2,RRSP-REG
1141459,1141459-1,RRSP-REG
11414614,11414614-2,RRSP-REG
1141476,1141476-1,RRSP-REG
1141477,1141477-1,RRSP-REG
1141496,1141496-1,RRSP-REG
11415055,11415055-2,RRSP-REG
1141508,1141508-1,RRSP-REG
11415206,11415206-1,RRSP-REG
11415392,11415392-1,RRSP-REG
11415502,11415502-1,RRSP-REG
11415932,11415932-2,RRSP-REG
1141616,1141616-1,RRSP-REG
1141618,1141618-1,RRSP-REG
1141621,1141621-1,RRSP-REG
1141624,1141624-1,RRSP-REG
1141652,1141652-2,RRSP-REG
1141664,1141664-1,RRSP-REG
1141690,1141690-1,RRSP-REG
1141725,1141725-1,RRSP-REG
11417391,11417391-1,RRSP-REG
1141744,1141744-1,RRSP-REG
1141758,1141758-1,RRSP-REG
11417701,11417701-1,RRSP-REG
1141778,1141778-1,RRSP-REG
11417981,11417981-2,RRSP-REG
11417995,11417995-2,RRSP-REG
1141831,1141831-1,RRSP-REG
11418319,11418319-1,RRSP-REG
11418465,11418465-1,RRSP-REG
11418567,11418567-1,RRSP-REG
11418571,11418571-1,RRSP-REG
1141863,1141863-1,RRSP-REG
1141870,1141870-1,RRSP-REG
1141873,1141873-1,RRSP-REG
1141877,1141877-1,RRSP-REG
11418914,11418914-2,RRSP-REG
1141901,1141901-1,RRSP-REG
1141906,1141906-1,RRSP-REG
1141908,1141908-1,RRSP-REG
11419183,11419183-2,RRSP-REG
1141928,1141928-1,RRSP-REG
1141965,1141965-1,RRSP-REG
11419817,11419817-3,RRSP-REG
11420052,11420052-1,RRSP-REG
1142010,1142010-1,RRSP-REG
1142037,1142037-1,RRSP-REG
1142038,1142038-1,RRSP-REG
11420621,11420621-2,RRSP-REG
1142069,1142069-3,RRSP-REG
1142070,1142070-1,RRSP-REG
1142111,1142111-1,RRSP-REG
11421301,11421301-1,RRSP-REG
1142136,1142136-1,RRSP-REG
1142151,1142151-1,RRSP-REG
1142155,1142155-1,RRSP-REG
1142157,1142157-1,RRSP-REG
1142159,1142159-1,RRSP-REG
11421667,11421667-2,RRSP-REG
1142200,1142200-1,RRSP-REG
1142223,1142223-1,RRSP-REG
1142225,1142225-1,RRSP-REG
1142234,1142234-1,RRSP-REG
11422458,11422458-1,RRSP-REG
11422464,11422464-3,RRSP-REG
1142251,1142251-1,RRSP-REG
1142291,1142291-1,RRSP-REG
1142302,1142302-1,RRSP-REG
11423455,11423455-1,RRSP-REG
1142377,1142377-1,RRSP-REG
1142389,1142389-1,RRSP-REG
1142392,1142392-1,RRSP-REG
11424287,11424287-2,RRSP-REG
1142432,1142432-1,RRSP-REG
11424385,11424385-1,RRSP-REG
1142439,1142439-1,RRSP-REG
1142480,1142480-1,RRSP-REG
11424862,11424862-1,RRSP-REG
11425094,11425094-1,RRSP-REG
11425374,11425374-2,RRSP-REG
1142557,1142557-1,RRSP-REG
11425906,11425906-2,RRSP-REG
1142629,1142629-1,RRSP-REG
1142631,1142631-1,RRSP-REG
11426602,11426602-1,RRSP-REG
11426686,11426686-2,RRSP-REG
1142669,1142669-1,RRSP-REG
11426988,11426988-1,RRSP-REG
1142707,1142707-2,RRSP-REG
1142771,1142771-1,RRSP-REG
11428118,11428118-1,RRSP-REG
1142882,1142882-1,RRSP-REG
11428831,11428831-2,RRSP-REG
1142915,1142915-1,RRSP-REG
1142957,1142957-1,RRSP-REG
1142958,1142958-1,RRSP-REG
11429604,11429604-1,RRSP-REG
1142974,1142974-1,RRSP-REG
11429785,11429785-1,RRSP-REG
1143006,1143006-1,RRSP-REG
1143021,1143021-1,RRSP-REG
1143031,1143031-1,RRSP-REG
11430674,11430674-2,RRSP-REG
1143068,1143068-1,RRSP-REG
11430704,11430704-1,RRSP-REG
1143087,1143087-1,RRSP-REG
11430909,11430909-2,RRSP-REG
11431048,11431048-1,RRSP-REG
11431060,11431060-2,RRSP-REG
11431096,11431096-2,RRSP-REG
1143120,1143120-2,RRSP-REG
1143133,1143133-1,RRSP-REG
1143135,1143135-1,RRSP-REG
11431520,11431520-1,RRSP-REG
1143191,1143191-1,RRSP-REG
1143256,1143256-1,RRSP-REG
11432906,11432906-2,RRSP-REG
11433464,11433464-1,RRSP-REG
11433476,11433476-1,RRSP-REG
11434030,11434030-1,RRSP-REG
11434259,11434259-2,RRSP-REG
1143478,1143478-1,RRSP-REG
1143580,1143580-1,RRSP-REG
1143611,1143611-1,RRSP-REG
1143642,1143642-1,RRSP-REG
1143671,1143671-1,RRSP-REG
1143731,1143731-1,RRSP-REG
1143754,1143754-1,RRSP-REG
1143839,1143839-1,RRSP-REG
1143995,1143995-1,RRSP-REG
1144061,1144061-1,RRSP-REG
1144146,1144146-1,RRSP-REG
11442295,11442295-1,RRSP-REG
1144236,1144236-1,RRSP-REG
1144254,1144254-1,RRSP-REG
1144296,1144296-1,RRSP-REG
1144310,1144310-1,RRSP-REG
11443134,11443134-2,RRSP-REG
1144341,1144341-1,RRSP-REG
1144346,1144346-1,RRSP-REG
11443888,11443888-1,RRSP-REG
11444134,11444134-6,RRSP-REG
11444342,11444342-1,RRSP-REG
1144459,1144459-1,RRSP-REG
1144468,1144468-1,RRSP-REG
114448,114448-1,RRSP-REG
11444867,11444867-1,RRSP-REG
1144500,1144500-1,RRSP-REG
1144534,1144534-1,RRSP-REG
11445629,11445629-4,RRSP-REG
1144566,1144566-1,RRSP-REG
11446898,11446898-2,RRSP-REG
1144707,1144707-1,RRSP-REG
11447429,11447429-1,RRSP-REG
1144746,1144746-1,RRSP-REG
1144747,1144747-1,RRSP-REG
1144755,1144755-1,RRSP-REG
1144803,1144803-1,RRSP-REG
11448252,11448252-2,RRSP-REG
1144826,1144826-1,RRSP-REG
11448406,11448406-1,RRSP-REG
11448438,11448438-1,RRSP-REG
11449013,11449013-2,RRSP-REG
11449028,11449028-1,RRSP-REG
11449063,11449063-1,RRSP-REG
11449720,11449720-1,RRSP-REG
1144987,1144987-1,RRSP-REG
1145008,1145008-1,RRSP-REG
11450588,11450588-1,RRSP-REG
1145071,1145071-1,RRSP-REG
11450883,11450883-2,RRSP-REG
1145111,1145111-1,RRSP-REG
1145119,1145119-1,RRSP-REG
11451206,11451206-2,RRSP-REG
1145129,1145129-1,RRSP-REG
11451379,11451379-1,RRSP-REG
11451507,11451507-2,RRSP-REG
11452020,11452020-1,RRSP-REG
11452028,11452028-2,RRSP-REG
1145207,1145207-1,RRSP-REG
11452220,11452220-1,RRSP-REG
11452292,11452292-1,RRSP-REG
11452448,11452448-1,RRSP-REG
11452590,11452590-1,RRSP-REG
11452671,11452671-1,RRSP-REG
11452685,11452685-2,RRSP-REG
11452723,11452723-1,RRSP-REG
11452869,11452869-2,RRSP-REG
1145291,1145291-1,RRSP-REG
11452944,11452944-1,RRSP-REG
11453054,11453054-2,RRSP-REG
11454079,11454079-1,RRSP-REG
11454180,11454180-1,RRSP-REG
11454198,11454198-1,RRSP-REG
11454566,11454566-1,RRSP-REG
11455157,11455157-1,RRSP-REG
11455345,11455345-2,RRSP-REG
11455617,11455617-1,RRSP-REG
11455970,11455970-1,RRSP-REG
1145629,1145629-1,RRSP-REG
114563,114563-2,RRSP-REG
11456418,11456418-2,RRSP-REG
11456658,11456658-1,RRSP-REG
11456707,11456707-2,RRSP-REG
1145695,1145695-1,RRSP-REG
11457191,11457191-2,RRSP-REG
11457416,11457416-2,RRSP-REG
11457497,11457497-2,RRSP-REG
