P_ProfileID,PortfolioID,PlanType
1033098,1033098-1,RRSP-REG
1033252,1033252-1,RRSP-REG
1033277,1033277-2,RRSP-REG
1033321,1033321-1,RRSP-REG
1033402,1033402-1,RRSP-REG
1033912,1033912-1,RRSP-REG
1033968,1033968-1,RRSP-REG
1034703,1034703-1,RRSP-REG
1034818,1034818-1,RRSP-REG
1035456,1035456-1,RRSP-REG
1036109,1036109-1,RRSP-REG
1036150,1036150-1,RRSP-REG
1036538,1036538-1,RRSP-REG
1036728,1036728-1,RRSP-REG
1037152,1037152-1,RRSP-REG
1037482,1037482-1,RRSP-REG
1037679,1037679-1,RRSP-REG
1038478,1038478-1,RRSP-REG
1038492,1038492-1,RRSP-REG
1038891,1038891-1,RRSP-REG
1038988,1038988-2,RRSP-REG
1039035,1039035-1,RRSP-REG
1039119,1039119-1,RRSP-REG
1039213,1039213-1,RRSP-REG
1039242,1039242-1,RRSP-REG
1039843,1039843-3,RRSP-REG
1040005,1040005-1,RRSP-REG
1044379,1044379-1,RRSP-REG
1045629,1045629-2,RRSP-REG
104571,104571-2,RRSP-REG
1047880,1047880-1,RRSP-REG
1048270,1048270-1,RRSP-REG
1048381,1048381-1,RRSP-REG
1049651,1049651-1,RRSP-REG
1049761,1049761-1,RRSP-REG
1050169,1050169-1,RRSP-REG
1050405,1050405-1,RRSP-REG
1050512,1050512-1,RRSP-REG
1050589,1050589-1,RRSP-REG
1050789,1050789-1,RRSP-REG
1050939,1050939-1,RRSP-REG
1051358,1051358-1,RRSP-REG
1051371,1051371-1,RRSP-REG
10519,10519-1,RRSP-REG
1051949,1051949-1,RRSP-REG
1052177,1052177-1,RRSP-REG
1052417,1052417-2,RRSP-REG
1052418,1052418-1,RRSP-REG
1052543,1052543-1,RRSP-REG
1052596,1052596-1,RRSP-REG
1052612,1052612-1,RRSP-REG
1052635,1052635-1,RRSP-REG
1053511,1053511-2,RRSP-REG
1054021,1054021-1,RRSP-REG
1054198,1054198-1,RRSP-REG
1054384,1054384-1,RRSP-REG
1054493,1054493-1,RRSP-REG
1054545,1054545-1,RRSP-REG
1054675,1054675-1,RRSP-REG
1054797,1054797-1,RRSP-REG
1054849,1054849-2,RRSP-REG
1054886,1054886-1,RRSP-REG
1054939,1054939-1,RRSP-REG
1054950,1054950-1,RRSP-REG
1055674,1055674-2,RRSP-REG
1055914,1055914-1,RRSP-REG
1056047,1056047-1,RRSP-REG
1056417,1056417-2,RRSP-REG
1056445,1056445-1,RRSP-REG
1056472,1056472-1,RRSP-REG
1056899,1056899-1,RRSP-REG
1057441,1057441-1,RRSP-REG
1057511,1057511-1,RRSP-REG
1057777,1057777-1,RRSP-REG
1057887,1057887-2,RRSP-REG
1058158,1058158-1,RRSP-REG
1058264,1058264-1,RRSP-REG
1058494,1058494-1,RRSP-REG
1058553,1058553-1,RRSP-REG
1058563,1058563-1,RRSP-REG
1058698,1058698-1,RRSP-REG
1058739,1058739-1,RRSP-REG
1059100,1059100-1,RRSP-REG
1059232,1059232-1,RRSP-REG
1059309,1059309-1,RRSP-REG
1059759,1059759-1,RRSP-REG
1059891,1059891-1,RRSP-REG
1060482,1060482-1,RRSP-REG
1060843,1060843-1,RRSP-REG
1061136,1061136-1,RRSP-REG
1061217,1061217-1,RRSP-REG
1061253,1061253-1,RRSP-REG
106136,106136-1,RRSP-REG
1061383,1061383-2,RRSP-REG
1061664,1061664-3,RRSP-REG
1061727,1061727-1,RRSP-REG
1062072,1062072-1,RRSP-REG
1062354,1062354-2,RRSP-REG
1062407,1062407-1,RRSP-REG
1063703,1063703-1,RRSP-REG
1063730,1063730-1,RRSP-REG
1063761,1063761-1,RRSP-REG
1064654,1064654-1,RRSP-REG
1064712,1064712-1,RRSP-REG
1065146,1065146-2,RRSP-REG
1065308,1065308-2,RRSP-REG
1065881,1065881-1,RRSP-REG
1065948,1065948-1,RRSP-REG
1066008,1066008-1,RRSP-REG
1066172,1066172-1,RRSP-REG
1066450,1066450-2,RRSP-REG
1066927,1066927-1,RRSP-REG
1067029,1067029-1,RRSP-REG
1067110,1067110-1,RRSP-REG
1067475,1067475-1,RRSP-REG
1067715,1067715-1,RRSP-REG
1067829,1067829-2,RRSP-REG
1067910,1067910-2,RRSP-REG
1067932,1067932-1,RRSP-REG
1068005,1068005-1,RRSP-REG
1068279,1068279-1,RRSP-REG
1068453,1068453-1,RRSP-REG
1068466,1068466-1,RRSP-REG
1068485,1068485-1,RRSP-REG
1068487,1068487-1,RRSP-REG
1068496,1068496-2,RRSP-REG
106870,106870-1,RRSP-REG
1068725,1068725-1,RRSP-REG
1068860,1068860-1,RRSP-REG
1068875,1068875-2,RRSP-REG
1068902,1068902-1,RRSP-REG
1068972,1068972-1,RRSP-REG
1068984,1068984-1,RRSP-REG
1069338,1069338-1,RRSP-REG
1069517,1069517-1,RRSP-REG
1069634,1069634-1,RRSP-REG
1069835,1069835-1,RRSP-REG
1069954,1069954-1,RRSP-REG
1070041,1070041-1,RRSP-REG
1070419,1070419-1,RRSP-REG
1070807,1070807-1,RRSP-REG
1071232,1071232-1,RRSP-REG
1071239,1071239-1,RRSP-REG
1071338,1071338-1,RRSP-REG
1071441,1071441-1,RRSP-REG
1071634,1071634-1,RRSP-REG
1071785,1071785-1,RRSP-REG
1074850,1074850-1,RRSP-REG
1074883,1074883-1,RRSP-REG
1075719,1075719-1,RRSP-REG
1076771,1076771-1,RRSP-REG
1077439,1077439-1,RRSP-REG
1078244,1078244-2,RRSP-REG
1078297,1078297-1,RRSP-REG
1079881,1079881-2,RRSP-REG
1080123,1080123-1,RRSP-REG
1080403,1080403-1,RRSP-REG
1080453,1080453-1,RRSP-REG
1080625,1080625-1,RRSP-REG
1080856,1080856-2,RRSP-REG
1080930,1080930-2,RRSP-REG
1081153,1081153-3,RRSP-REG
1081548,1081548-1,RRSP-REG
1081785,1081785-2,RRSP-REG
1082713,1082713-1,RRSP-REG
1083433,1083433-1,RRSP-REG
1084513,1084513-1,RRSP-REG
1084689,1084689-1,RRSP-REG
1084722,1084722-2,RRSP-REG
108507,108507-1,RRSP-REG
1085906,1085906-1,RRSP-REG
1086697,1086697-1,RRSP-REG
1087455,1087455-2,RRSP-REG
1088067,1088067-1,RRSP-REG
108854,108854-1,RRSP-REG
1088579,1088579-2,RRSP-REG
1089206,1089206-1,RRSP-REG
1089899,1089899-1,RRSP-REG
1090110,1090110-1,RRSP-REG
1090318,1090318-1,RRSP-REG
109039,109039-1,RRSP-REG
1090391,1090391-3,RRSP-REG
109299,109299-1,RRSP-REG
1093653,1093653-1,RRSP-REG
1093660,1093660-1,RRSP-REG
1093798,1093798-1,RRSP-REG
1094348,1094348-1,RRSP-REG
1094746,1094746-1,RRSP-REG
1095459,1095459-1,RRSP-REG
1095765,1095765-1,RRSP-REG
1095829,1095829-2,RRSP-REG
1096562,1096562-1,RRSP-REG
1097504,1097504-1,RRSP-REG
1097613,1097613-2,RRSP-REG
1097716,1097716-2,RRSP-REG
1097730,1097730-1,RRSP-REG
1097802,1097802-1,RRSP-REG
1097888,1097888-1,RRSP-REG
1097919,1097919-1,RRSP-REG
1097960,1097960-1,RRSP-REG
1097994,1097994-1,RRSP-REG
109805,109805-1,RRSP-REG
1098093,1098093-1,RRSP-REG
1098256,1098256-1,RRSP-REG
1098410,1098410-1,RRSP-REG
1098532,1098532-1,RRSP-REG
1098546,1098546-1,RRSP-REG
1098548,1098548-1,RRSP-REG
1098592,1098592-1,RRSP-REG
109864,109864-1,RRSP-REG
1098650,1098650-1,RRSP-REG
1098881,1098881-1,RRSP-REG
1098882,1098882-1,RRSP-REG
1098942,1098942-1,RRSP-REG
1098955,1098955-1,RRSP-REG
1099120,1099120-1,RRSP-REG
1099448,1099448-1,RRSP-REG
1099504,1099504-1,RRSP-REG
1099638,1099638-1,RRSP-REG
1099653,1099653-1,RRSP-REG
1099833,1099833-2,RRSP-REG
1100002,1100002-1,RRSP-REG
1100176,1100176-1,RRSP-REG
1100190,1100190-1,RRSP-REG
1100286,1100286-1,RRSP-REG
1100445,1100445-1,RRSP-REG
1100558,1100558-1,RRSP-REG
110195,110195-1,RRSP-REG
11021680,11021680-1,RRSP-REG
11021930,11021930-2,RRSP-REG
11022369,11022369-2,RRSP-REG
11023087,11023087-1,RRSP-REG
1102356,1102356-4,RRSP-REG
11023944,11023944-2,RRSP-REG
11024097,11024097-1,RRSP-REG
11025853,11025853-1,RRSP-REG
11027454,11027454-1,RRSP-REG
1102834,1102834-1,RRSP-REG
11029034,11029034-1,RRSP-REG
11029206,11029206-1,RRSP-REG
1103034,1103034-1,RRSP-REG
1103076,1103076-1,RRSP-REG
1103114,1103114-1,RRSP-REG
1103169,1103169-1,RRSP-REG
11032161,11032161-1,RRSP-REG
1103219,1103219-1,RRSP-REG
11032241,11032241-1,RRSP-REG
11032282,11032282-2,RRSP-REG
1103328,1103328-1,RRSP-REG
11033997,11033997-2,RRSP-REG
1103505,1103505-1,RRSP-REG
11035416,11035416-2,RRSP-REG
1103704,1103704-1,RRSP-REG
11037203,11037203-1,RRSP-REG
1103763,1103763-1,RRSP-REG
11038001,11038001-1,RRSP-REG
11039296,11039296-1,RRSP-REG
1104036,1104036-1,RRSP-REG
11041201,11041201-1,RRSP-REG
1104150,1104150-1,RRSP-REG
1104221,1104221-1,RRSP-REG
11042493,11042493-1,RRSP-REG
11042525,11042525-1,RRSP-REG
1104256,1104256-1,RRSP-REG
1104305,1104305-2,RRSP-REG
1104390,1104390-1,RRSP-REG
1104499,1104499-1,RRSP-REG
11045943,11045943-1,RRSP-REG
11046075,11046075-1,RRSP-REG
11046195,11046195-1,RRSP-REG
11046560,11046560-1,RRSP-REG
11047765,11047765-1,RRSP-REG
1104803,1104803-1,RRSP-REG
11048125,11048125-1,RRSP-REG
1104859,1104859-1,RRSP-REG
11048977,11048977-1,RRSP-REG
11049142,11049142-1,RRSP-REG
11049169,11049169-1,RRSP-REG
11049837,11049837-1,RRSP-REG
1105013,1105013-1,RRSP-REG
11050495,11050495-1,RRSP-REG
1105102,1105102-1,RRSP-REG
11059159,11059159-1,RRSP-REG
11060807,11060807-1,RRSP-REG
11060823,11060823-1,RRSP-REG
11061084,11061084-2,RRSP-REG
110624,110624-1,RRSP-REG
1106300,1106300-1,RRSP-REG
11063470,11063470-1,RRSP-REG
11063920,11063920-1,RRSP-REG
11064331,11064331-2,RRSP-REG
11064563,11064563-1,RRSP-REG
11065452,11065452-1,RRSP-REG
11065468,11065468-1,RRSP-REG
11066115,11066115-1,RRSP-REG
11066444,11066444-2,RRSP-REG
11066445,11066445-2,RRSP-REG
11066836,11066836-1,RRSP-REG
11067065,11067065-1,RRSP-REG
11067337,11067337-2,RRSP-REG
11067468,11067468-1,RRSP-REG
11067758,11067758-1,RRSP-REG
1106784,1106784-1,RRSP-REG
1106841,1106841-1,RRSP-REG
11068694,11068694-1,RRSP-REG
11068935,11068935-1,RRSP-REG
1106926,1106926-1,RRSP-REG
11069521,11069521-1,RRSP-REG
11069968,11069968-1,RRSP-REG
11070775,11070775-1,RRSP-REG
11071152,11071152-1,RRSP-REG
11071541,11071541-1,RRSP-REG
11072091,11072091-1,RRSP-REG
11072353,11072353-1,RRSP-REG
11072358,11072358-2,RRSP-REG
1107244,1107244-1,RRSP-REG
11072623,11072623-2,RRSP-REG
11072844,11072844-1,RRSP-REG
11072916,11072916-1,RRSP-REG
11073161,11073161-1,RRSP-REG
11073198,11073198-1,RRSP-REG
11073408,11073408-1,RRSP-REG
11074357,11074357-1,RRSP-REG
11074843,11074843-1,RRSP-REG
11075257,11075257-1,RRSP-REG
11075418,11075418-1,RRSP-REG
11075616,11075616-1,RRSP-REG
11075634,11075634-1,RRSP-REG
1107596,1107596-1,RRSP-REG
1107742,1107742-1,RRSP-REG
11077544,11077544-2,RRSP-REG
11077566,11077566-1,RRSP-REG
11078339,11078339-1,RRSP-REG
1107882,1107882-1,RRSP-REG
11079033,11079033-1,RRSP-REG
1107917,1107917-1,RRSP-REG
11079398,11079398-1,RRSP-REG
11080158,11080158-1,RRSP-REG
11080189,11080189-1,RRSP-REG
1108045,1108045-1,RRSP-REG
1108049,1108049-1,RRSP-REG
11080542,11080542-1,RRSP-REG
1108064,1108064-1,RRSP-REG
11080914,11080914-2,RRSP-REG
1108116,1108116-1,RRSP-REG
11081210,11081210-2,RRSP-REG
1108194,1108194-1,RRSP-REG
11082224,11082224-2,RRSP-REG
11083236,11083236-1,RRSP-REG
11083686,11083686-1,RRSP-REG
1108385,1108385-1,RRSP-REG
11084077,11084077-1,RRSP-REG
1108420,1108420-1,RRSP-REG
1108501,1108501-1,RRSP-REG
11085318,11085318-1,RRSP-REG
11085501,11085501-1,RRSP-REG
11085693,11085693-1,RRSP-REG
11085797,11085797-1,RRSP-REG
11086133,11086133-1,RRSP-REG
1108616,1108616-1,RRSP-REG
11086699,11086699-2,RRSP-REG
1108676,1108676-1,RRSP-REG
11086807,11086807-1,RRSP-REG
11087085,11087085-1,RRSP-REG
11087219,11087219-1,RRSP-REG
11087284,11087284-1,RRSP-REG
1108729,1108729-1,RRSP-REG
11087633,11087633-1,RRSP-REG
1108783,1108783-1,RRSP-REG
11088132,11088132-1,RRSP-REG
1108819,1108819-2,RRSP-REG
11088214,11088214-1,RRSP-REG
11089340,11089340-1,RRSP-REG
11089403,11089403-1,RRSP-REG
11090297,11090297-1,RRSP-REG
1109039,1109039-1,RRSP-REG
1109055,1109055-1,RRSP-REG
11090602,11090602-1,RRSP-REG
11090842,11090842-1,RRSP-REG
11090900,11090900-1,RRSP-REG
11091388,11091388-1,RRSP-REG
11091687,11091687-1,RRSP-REG
11092075,11092075-1,RRSP-REG
1109255,1109255-1,RRSP-REG
11092614,11092614-1,RRSP-REG
1109296,1109296-2,RRSP-REG
1109326,1109326-1,RRSP-REG
11093353,11093353-1,RRSP-REG
1109451,1109451-1,RRSP-REG
1109500,1109500-1,RRSP-REG
11095132,11095132-1,RRSP-REG
1109517,1109517-2,RRSP-REG
11095550,11095550-1,RRSP-REG
1109576,1109576-1,RRSP-REG
1109581,1109581-1,RRSP-REG
1109608,1109608-1,RRSP-REG
11096247,11096247-1,RRSP-REG
1109655,1109655-1,RRSP-REG
11097299,11097299-2,RRSP-REG
1109783,1109783-1,RRSP-REG
1109859,1109859-1,RRSP-REG
11098869,11098869-1,RRSP-REG
1109910,1109910-2,RRSP-REG
11099149,11099149-1,RRSP-REG
1109974,1109974-1,RRSP-REG
11100033,11100033-2,RRSP-REG
11100066,11100066-2,RRSP-REG
11100364,11100364-1,RRSP-REG
1110042,1110042-1,RRSP-REG
1110053,1110053-1,RRSP-REG
11100910,11100910-1,RRSP-REG
1110102,1110102-1,RRSP-REG
11102389,11102389-1,RRSP-REG
11102487,11102487-3,RRSP-REG
1110268,1110268-1,RRSP-REG
11102736,11102736-1,RRSP-REG
1110368,1110368-1,RRSP-REG
11103773,11103773-1,RRSP-REG
11104054,11104054-1,RRSP-REG
11104843,11104843-1,RRSP-REG
1110496,1110496-1,RRSP-REG
11105036,11105036-1,RRSP-REG
1110518,1110518-1,RRSP-REG
1110547,1110547-1,RRSP-REG
1110567,1110567-2,RRSP-REG
11105847,11105847-1,RRSP-REG
11106061,11106061-1,RRSP-REG
11106171,11106171-1,RRSP-REG
1110628,1110628-2,RRSP-REG
11106537,11106537-1,RRSP-REG
11106950,11106950-2,RRSP-REG
1110788,1110788-1,RRSP-REG
11108000,11108000-2,RRSP-REG
1110806,1110806-1,RRSP-REG
1110871,1110871-1,RRSP-REG
11109193,11109193-1,RRSP-REG
1110931,1110931-1,RRSP-REG
11109894,11109894-1,RRSP-REG
11110028,11110028-1,RRSP-REG
1111129,1111129-1,RRSP-REG
1111169,1111169-1,RRSP-REG
11112002,11112002-1,RRSP-REG
1111208,1111208-1,RRSP-REG
1111215,1111215-1,RRSP-REG
11112202,11112202-2,RRSP-REG
1111268,1111268-1,RRSP-REG
11112778,11112778-2,RRSP-REG
11113069,11113069-2,RRSP-REG
11113504,11113504-1,RRSP-REG
11113550,11113550-1,RRSP-REG
1111402,1111402-1,RRSP-REG
11114518,11114518-2,RRSP-REG
11115599,11115599-1,RRSP-REG
1111597,1111597-2,RRSP-REG
11116048,11116048-2,RRSP-REG
11116131,11116131-1,RRSP-REG
11117022,11117022-1,RRSP-REG
11117111,11117111-1,RRSP-REG
11117322,11117322-1,RRSP-REG
1111850,1111850-1,RRSP-REG
11118991,11118991-1,RRSP-REG
11119364,11119364-1,RRSP-REG
11119847,11119847-1,RRSP-REG
11120067,11120067-1,RRSP-REG
11120140,11120140-1,RRSP-REG
11120862,11120862-1,RRSP-REG
1112139,1112139-1,RRSP-REG
1112163,1112163-1,RRSP-REG
11121727,11121727-1,RRSP-REG
11122261,11122261-1,RRSP-REG
1112306,1112306-1,RRSP-REG
11123748,11123748-2,RRSP-REG
11123753,11123753-2,RRSP-REG
11124244,11124244-1,RRSP-REG
11124918,11124918-1,RRSP-REG
11125094,11125094-2,RRSP-REG
11125938,11125938-1,RRSP-REG
11127078,11127078-1,RRSP-REG
11127327,11127327-1,RRSP-REG
11127479,11127479-1,RRSP-REG
11127574,11127574-1,RRSP-REG
11128053,11128053-1,RRSP-REG
11128103,11128103-1,RRSP-REG
11128310,11128310-1,RRSP-REG
11128657,11128657-1,RRSP-REG
11128904,11128904-1,RRSP-REG
11131006,11131006-1,RRSP-REG
11131262,11131262-1,RRSP-REG
11131376,11131376-1,RRSP-REG
11131710,11131710-1,RRSP-REG
11132466,11132466-1,RRSP-REG
11132568,11132568-2,RRSP-REG
11133549,11133549-1,RRSP-REG
11133655,11133655-1,RRSP-REG
11133818,11133818-1,RRSP-REG
11134010,11134010-1,RRSP-REG
11134198,11134198-1,RRSP-REG
11134357,11134357-1,RRSP-REG
11134548,11134548-1,RRSP-REG
11134552,11134552-1,RRSP-REG
11134570,11134570-1,RRSP-REG
11135177,11135177-1,RRSP-REG
11135795,11135795-1,RRSP-REG
11135961,11135961-1,RRSP-REG
11136045,11136045-2,RRSP-REG
11136052,11136052-1,RRSP-REG
11136298,11136298-2,RRSP-REG
11136815,11136815-1,RRSP-REG
11137143,11137143-1,RRSP-REG
11137366,11137366-1,RRSP-REG
11137568,11137568-2,RRSP-REG
11138167,11138167-1,RRSP-REG
11138475,11138475-2,RRSP-REG
11138547,11138547-1,RRSP-REG
11138577,11138577-1,RRSP-REG
11138673,11138673-1,RRSP-REG
11138994,11138994-1,RRSP-REG
11139180,11139180-1,RRSP-REG
11139518,11139518-1,RRSP-REG
11139833,11139833-1,RRSP-REG
11142412,11142412-2,RRSP-REG
11142476,11142476-1,RRSP-REG
11142756,11142756-1,RRSP-REG
11142902,11142902-1,RRSP-REG
11143744,11143744-1,RRSP-REG
11144514,11144514-1,RRSP-REG
11144896,11144896-1,RRSP-REG
1114505,1114505-1,RRSP-REG
11145426,11145426-1,RRSP-REG
11145833,11145833-1,RRSP-REG
1114601,1114601-1,RRSP-REG
11146213,11146213-1,RRSP-REG
11147035,11147035-2,RRSP-REG
11147122,11147122-1,RRSP-REG
11147255,11147255-1,RRSP-REG
11147558,11147558-1,RRSP-REG
1114802,1114802-1,RRSP-REG
11148354,11148354-1,RRSP-REG
11148798,11148798-1,RRSP-REG
11149489,11149489-1,RRSP-REG
1114981,1114981-1,RRSP-REG
11150258,11150258-1,RRSP-REG
11150798,11150798-2,RRSP-REG
11151814,11151814-1,RRSP-REG
11152656,11152656-1,RRSP-REG
11152702,11152702-1,RRSP-REG
1115284,1115284-1,RRSP-REG
1115336,1115336-1,RRSP-REG
11153493,11153493-2,RRSP-REG
1115376,1115376-1,RRSP-REG
1115453,1115453-1,RRSP-REG
11155042,11155042-1,RRSP-REG
11156024,11156024-1,RRSP-REG
1115652,1115652-1,RRSP-REG
11156757,11156757-1,RRSP-REG
11156917,11156917-1,RRSP-REG
11157191,11157191-2,RRSP-REG
1115722,1115722-1,RRSP-REG
11157824,11157824-1,RRSP-REG
11158286,11158286-2,RRSP-REG
11158735,11158735-1,RRSP-REG
11159581,11159581-1,RRSP-REG
11159624,11159624-1,RRSP-REG
11159733,11159733-1,RRSP-REG
11160378,11160378-1,RRSP-REG
1116045,1116045-1,RRSP-REG
11160453,11160453-1,RRSP-REG
11160540,11160540-1,RRSP-REG
1116057,1116057-1,RRSP-REG
1116069,1116069-1,RRSP-REG
11161715,11161715-1,RRSP-REG
11162452,11162452-2,RRSP-REG
11162784,11162784-1,RRSP-REG
11163325,11163325-2,RRSP-REG
11163565,11163565-1,RRSP-REG
11164283,11164283-1,RRSP-REG
11164305,11164305-3,RRSP-REG
11164432,11164432-1,RRSP-REG
11164539,11164539-1,RRSP-REG
11164739,11164739-1,RRSP-REG
11164763,11164763-1,RRSP-REG
11165882,11165882-1,RRSP-REG
11165953,11165953-1,RRSP-REG
11166136,11166136-1,RRSP-REG
11167067,11167067-1,RRSP-REG
11167119,11167119-2,RRSP-REG
11167563,11167563-1,RRSP-REG
11167627,11167627-1,RRSP-REG
1116778,1116778-1,RRSP-REG
11167986,11167986-2,RRSP-REG
11168102,11168102-1,RRSP-REG
11168145,11168145-2,RRSP-REG
11168606,11168606-1,RRSP-REG
11169735,11169735-1,RRSP-REG
11170061,11170061-1,RRSP-REG
11170660,11170660-2,RRSP-REG
11170852,11170852-1,RRSP-REG
11171042,11171042-1,RRSP-REG
11171131,11171131-1,RRSP-REG
11171303,11171303-1,RRSP-REG
11171530,11171530-1,RRSP-REG
11171621,11171621-1,RRSP-REG
11172028,11172028-1,RRSP-REG
11172060,11172060-1,RRSP-REG
1117278,1117278-1,RRSP-REG
11172821,11172821-2,RRSP-REG
11173146,11173146-1,RRSP-REG
11173287,11173287-1,RRSP-REG
11173531,11173531-1,RRSP-REG
11173791,11173791-1,RRSP-REG
11174023,11174023-3,RRSP-REG
11174297,11174297-1,RRSP-REG
11174645,11174645-1,RRSP-REG
11175195,11175195-1,RRSP-REG
